time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,raw_watts,raw_heartrate,left_right_balance,hrv
299,441,84,181,1944.62,564.0,43.70761,40.2742,4.078,32,50,441,181,58,364
300,401,85,182,1949.07,564.2,43.707638,40.274242,4.152,32,45,401,182,58,365
301,421,89,182,1953.6,564.6,43.707664,40.274284,4.339,32,45,421,182,49,363
302,366,87,182,1958.18,565.0,43.70769,40.274323,4.311,32,40,366,182,50,364
303,320,83,182,1962.6,565.4,43.707718,40.274364,4.292,32,37,320,182,51,363
304,370,82,182,1966.92,565.8,43.707745,40.274403,4.152,32,43,370,182,42,364
305,340,89,183,1970.96,566.0,43.707767,40.274445,4.059,32,36,340,183,53,727
306,406,93,183,1974.97,566.4,43.70779,40.274483,3.91,32,42,406,183,53,363
307,314,87,183,1978.91,566.6,43.707813,40.27452,3.854,32,34,314,183,55,363
308,351,83,183,1982.7,567.0,43.707832,40.27456,3.658,32,40,351,183,46,364
309,347,83,183,1986.34,567.4,43.707855,40.27459,3.639,32,40,347,183,54,361
310,379,83,183,1990.11,567.8,43.70788,40.274624,3.658,32,44,379,183,50,364
311,368,86,183,1993.93,568.4,43.707905,40.27466,3.695,32,41,368,183,52,362
312,350,85,183,1997.75,568.8,43.707928,40.274693,3.695,32,39,350,183,50,361
313,341,86,183,2001.6,569.2,43.70795,40.274727,3.76,32,38,341,183,53,362
314,343,84,183,2005.4,569.4,43.707973,40.274765,3.695,32,39,343,183,53,361
315,310,80,183,2009.07,569.8,43.707993,40.2748,3.555,32,37,310,183,53,361
316,354,80,183,2012.7,570.4,43.708015,40.274834,3.527,32,42,354,183,48,361
317,354,81,183,2016.35,570.8,43.708035,40.27487,3.602,32,42,354,183,54,361
318,346,81,183,2019.97,571.2,43.708054,40.27491,3.639,32,41,346,183,48,361
319,346,83,183,2023.7,571.8,43.708073,40.274944,3.704,32,40,346,183,51,360
